valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
2,12,3,4,NaN,NaN,NaN,NaN,NaN,NaN
2,16,3,4,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,3,4,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,3,4,0.0324597591653184,904.742286269166,328.393383608717,6.1686,17.5,23.6686
2,32,3,4,0.0285028033302407,861.851643810867,387.682823224902,6.192,17.5,23.692
2,4.93,4,1,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,4,1,NaN,NaN,NaN,NaN,NaN,NaN
2,12,4,1,NaN,NaN,NaN,NaN,NaN,NaN
2,16,4,1,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,4,1,0.0780562562555917,364.60916886037,189.096445388672,8.1832,4.375,12.5582
2,28.1,4,1,0.062213418804881,339.609407508857,178.88859471416,8.2248,4.375,12.5998
2,32,4,1,0.252738009058005,331.077422752938,146.766406465868,8.256,4.375,12.631
2,4.93,4,2,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,4,2,NaN,NaN,NaN,NaN,NaN,NaN
2,12,4,2,NaN,NaN,NaN,NaN,NaN,NaN
2,16,4,2,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,4,2,0.0374295623869265,680.018143557927,293.855116654321,8.1832,8.75,16.9332
2,28.1,4,2,0.0389009256302846,556.556983390833,215.642092556742,8.2248,8.75,16.9748
2,32,4,2,0.141112285230557,649.775075255888,173.705122643053,8.256,8.75,17.006
2,4.93,4,3,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,4,3,NaN,NaN,NaN,NaN,NaN,NaN
2,12,4,3,NaN,NaN,NaN,NaN,NaN,NaN
2,16,4,3,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,4,3,0.030189994397422,813.272343314421,356.679214555344,8.1832,13.125,21.3082
2,28.1,4,3,0.029367952671705,566.606482777195,212.007878327791,8.2248,13.125,21.3498
2,32,4,3,0.0820938718722876,657.787228340031,184.928057516304,8.256,13.125,21.381
