valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
0.9,12,2,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,2,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,2,1,0.160883012405091,217.211688003841,69.5349062468361,4.0916,4.375,8.4666
0.9,28.1,2,1,0.1232057181198,278.413163320118,93.2357557058871,4.1124,4.375,8.4874
0.9,45.6,2,1,0.144695185658696,469.77391576844,149.886411793105,4.1824,4.375,8.5574
0.9,4.93,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,12,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,2,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,2,2,0.0994478854165928,295.921227050881,65.9722504941687,4.0916,8.75,12.8416
0.9,28.1,2,2,0.0846133608328455,361.986852220661,83.4599240797731,4.1124,8.75,12.8624
0.9,45.6,2,2,0.103122742219958,551.101851787532,140.621104531374,4.1824,8.75,12.9324
0.9,4.93,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,12,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,2,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,2,3,0.0994477428891165,295.921186620926,65.9721987028065,4.0916,13.125,17.2166
0.9,28.1,2,3,0.0846092487444916,361.992211702747,83.4607163067714,4.1124,13.125,17.2374
0.9,45.6,2,3,0.103122755072737,551.101883406994,140.621113908067,4.1824,13.125,17.3074
0.9,4.93,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,12,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,16,2,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,22.9,2,4,0.0994479045323099,295.921253927059,65.9722581592633,4.0916,17.5,21.5916
0.9,28.1,2,4,0.0847606004478695,361.991438407059,83.5660998582454,4.1124,17.5,21.6124
0.9,45.6,2,4,0.1031228199868,551.101839107222,140.62118638742,4.1824,17.5,21.6824
0.9,4.93,3,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,3,1,7.5956321380574,197.876826581238,119.882945371361,6.0618,4.375,10.4368
0.9,12,3,1,4.48815022772423,260.438528028473,148.953937805818,6.072,4.375,10.447
0.9,16,3,1,0.0636698467893389,315.38915531358,75.869617286444,6.096,4.375,10.471
0.9,22.9,3,1,0.127835929988717,392.136602120088,159.110883410553,6.1374,4.375,10.5124
0.9,28.1,3,1,0.12291224047407,449.432677808544,159.035721489781,6.1686,4.375,10.5436
0.9,45.6,3,1,0.195249143623114,554.454516690504,232.406287567719,6.2736,4.375,10.6486
0.9,4.93,3,2,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,3,2,1.52195677778653,366.918557781347,199.399231502729,6.0618,8.75,14.8118
0.9,12,3,2,0.470815066157296,498.062819087642,309.302640753656,6.072,8.75,14.822
0.9,16,3,2,0.0636707670084679,315.389464557586,75.8702329042845,6.096,8.75,14.846
0.9,22.9,3,2,0.0762788928028901,420.583123995113,106.617917210226,6.1374,8.75,14.8874
0.9,28.1,3,2,0.08880844743655,503.150861130761,129.363893165796,6.1686,8.75,14.9186
0.9,45.6,3,2,0.127886274569203,765.944046486603,197.683765021095,6.2736,8.75,15.0236
0.9,4.93,3,3,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,3,3,0.605121623275414,510.289978187751,310.251240210061,6.0618,13.125,19.1868
0.9,12,3,3,0.362166600540338,622.961315183494,296.795054532979,6.072,13.125,19.197
0.9,16,3,3,0.0636704905910843,315.389344787593,75.8700944970901,6.096,13.125,19.221
0.9,22.9,3,3,0.0762788766580818,420.583261592455,106.617898482297,6.1374,13.125,19.2624
0.9,28.1,3,3,0.0888084249716803,503.150859037704,129.363854897995,6.1686,13.125,19.2936
0.9,45.6,3,3,0.127886265779797,765.944044864872,197.683755891409,6.2736,13.125,19.3986
0.9,4.93,3,4,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,3,4,0.50940581559685,591.90040844496,290.66965640953,6.0618,17.5,23.5618
0.9,12,3,4,0.362166564410954,622.961267125467,296.795038428328,6.072,17.5,23.572
0.9,16,3,4,0.0636705835410486,315.3893908862,75.8701368787254,6.096,17.5,23.596
0.9,22.9,3,4,0.0762788634360984,420.583261353055,106.617883684134,6.1374,17.5,23.6374
0.9,28.1,3,4,0.0888084313969007,503.150846796646,129.363856663649,6.1686,17.5,23.6686
0.9,45.6,3,4,0.127886261303588,765.944046518079,197.683749451768,6.2736,17.5,23.7736
0.9,4.93,4,1,4.66253509600658,58.5639819842833,28.579930387484,8.03944,4.375,12.41444
0.9,10.3,4,1,0.393923669836992,360.682466114008,226.8329873818,8.0824,4.375,12.4574
0.9,12,4,1,0.358114110058043,384.698439080782,230.179500456386,8.096,4.375,12.471
0.9,16,4,1,0.0679350931216333,394.513462398486,98.3258185969618,8.128,4.375,12.503
0.9,22.9,4,1,0.13057494933038,495.495067340766,179.941253607094,8.1832,4.375,12.5582
0.9,28.1,4,1,0.175831884826834,550.349957626585,243.514547327785,8.2248,4.375,12.5998
